Type,Name,Effect,Cost,Lore,Lore2
Ability,Forsake Your Humanity,Converts Mana to Souls,1:1 Mana:Souls,"A dark spell that harnesses the twisted arcane to convert mana into soul essences, trading ethereal energy for the most elusive of powers at the cost of one's own humanity.","Legend speaks of a heretic who dared to meddle with the soulstream, invoking a spell that blurred the line between essence and void, bestowing upon mortals the power to shape souls."
Spell,Lesser Replenishment,Heals 10hp,15,"A basic spell taught to novice healers. It mends minor wounds by knitting flesh and bone with a gentle warmth.","In the earliest days of the Circle of Healers, an unassuming apprentice stumbled upon this spell within the Grove of Life, changing the fate of many."
Spell,Greater Replenishment,Heals 30,40,"A more potent version of the heal spell, used on the battlefields to save knights and warriors from the brink of death.","Crafted by the battlefield medics of the Eternal War, this spell was a light of hope amid the shadow of unending conflict."
Spell,Nourishing Heal,Heals 100 hp,75,"The pinnacle of healing magic, this spell can bring back a warrior standing at death's door, fully restoring their vitality.","This rare art was said to be the gift of the Phoenix, shared only with those who found favor with the immortal bird."
Spell,Lesser Flame Orb,Deals 10 damage,15,"A classic spell of the arcane, conjuring a sphere of blazing fire that is hurled at enemies, leaving nothing but ashes.","Born from the primal fear of darkness, this spell was the first conjured by the ancient pyromancers to light the night."
Spell,Dark Flame Arc,Deals 30 damage,40,"An advanced fire spell that releases a sweeping arc of flames, engulfing multiple foes in a fierce inferno.","A vengeful wizard who danced with shadows created this spell to scorch his enemies with the dark fires of the abyss."
Spell,Wrath of the Dark Soul,Deals 75 damage,55,"A forbidden spell that channels the caster's life force into a devastating explosion of dark energy, feared by all.","Only the forbidden tomes speak of this spell, and it is said that its origin lies in the cursed Soulwell where no light can reach."
Enchantment,Sacred Soul Grasp,Stuns enemy for 3 turns,65,"An enchantment that disrupts the flow of magic around the target, leaving them incapacitated and vulnerable to attack.","This ancient rite was discovered inscribed in the ruins of a temple dedicated to the Watchers of Equilibrium, keepers of peace between realms."
Enchantment,Dark Soul Crush,Causes the enemy to hurt itself for 50% of its normal damage,45,"A dark enchantment that preys on the fears of its target, causing them to turn against themselves in terror.","From the depths of the Nightmare Chasm, this curse was extracted by a cult that whispered to the darkness."
Enchantment,Twisted Soul Manipulation,30% chance for the enemy to heal the player for 45 hp; 30% chance the enemy to deal triple its damage to the user; 40% chance for the enemy to hurt itself for triple its damage,25,"A chaotic spell that scrambles the thoughts of its target, making friend seem like foe and reality a mere suggestion.","Originating from the Mad Oracle of Delphi, this spell is laced with the same madness that consumed its creator."
Enchantment,Fear the Unseen Predator,Causes the player to go immune for 3 turns,60,"An ancient hunter's enchantment, granting the caster the ability to blend with their surroundings and become invisible to their prey.","Once a secret of the elite Shadowstalkers, this enchantment was used to hunt the most elusive beasts in the Great Dark Woods."
